date,event_1,event_2
1424-01-03,عیدنوروز,
1424-01-04,عیدنوروز,
1424-01-12,روز جمهوری اسلامی,
1424-01-13,جشن سیزده به در,
1424-02-02,شهادت حضرت فاطمه زهرا سلام الله علیها,
1424-03-11,ولادت امام علی علیه السلام و روز پدر,
1424-03-14,رحلت حضرت امام خمینی,
1424-03-15,قیام 15 خرداد,
1424-03-25,مبعث رسول اکرم (ص),
1424-04-11,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1424-05-15,شهادت حضرت علی علیه السلام,
1424-05-25,عید سعید فطر,
1424-05-26,تعطیل به مناسبت عید سعید فطر,
1424-06-18,شهادت امام جعفر صادق علیه السلام,
1424-08-01,عید سعید قربان,
1424-08-09,عید سعید غدیر خم,
1424-08-29,تاسوعای حسینی,
1424-08-30,عاشورای حسینی,
1424-10-10,اربعین حسینی,
1424-10-18,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1424-10-27,شهادت امام حسن عسکری علیه السلام,
1424-11-06,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1424-11-22,پیروزی انقلاب اسلامی,
1424-12-29,روز ملی شدن صنعت نفت ایران,
1424-12-30,آخرین روز سال,
1425-01-01,جشن نوروز/جشن سال نو,
1425-01-02,عیدنوروز,
1425-01-03,عیدنوروز,
1425-01-04,عیدنوروز,
1425-01-12,روز جمهوری اسلامی,
1425-01-13,جشن سیزده به در,
1425-01-21,شهادت حضرت فاطمه زهرا سلام الله علیها,
1425-02-30,ولادت امام علی علیه السلام و روز پدر,
1425-03-13,مبعث رسول اکرم (ص),
1425-03-14,رحلت حضرت امام خمینی,
1425-03-15,قیام 15 خرداد,
1425-03-30,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1425-05-04,شهادت حضرت علی علیه السلام,
1425-05-13,عید سعید فطر,
1425-05-14,تعطیل به مناسبت عید سعید فطر,
1425-06-06,شهادت امام جعفر صادق علیه السلام,
1425-07-19,عید سعید قربان,
1425-07-27,عید سعید غدیر خم,
1425-08-18,تاسوعای حسینی,
1425-08-19,عاشورای حسینی,
1425-09-28,اربعین حسینی,
1425-10-06,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1425-10-15,شهادت امام حسن عسکری علیه السلام,
1425-10-24,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1425-11-22,پیروزی انقلاب اسلامی,
1425-12-29,روز ملی شدن صنعت نفت ایران,
1426-01-01,جشن نوروز/جشن سال نو,
1426-01-02,عیدنوروز,
1426-01-03,عیدنوروز,
1426-01-04,عیدنوروز,
1426-01-10,شهادت حضرت فاطمه زهرا سلام الله علیها,
1426-01-12,روز جمهوری اسلامی,
1426-01-13,جشن سیزده به در,
1426-02-19,ولادت امام علی علیه السلام و روز پدر,
1426-03-02,مبعث رسول اکرم (ص),
1426-03-14,رحلت حضرت امام خمینی,
1426-03-15,قیام 15 خرداد,
1426-03-20,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1426-04-24,شهادت حضرت علی علیه السلام,
1426-05-03,عید سعید فطر,
1426-05-04,تعطیل به مناسبت عید سعید فطر,
1426-05-27,شهادت امام جعفر صادق علیه السلام,
1426-07-09,عید سعید قربان,
1426-07-17,عید سعید غدیر خم,
1426-08-07,تاسوعای حسینی,
1426-08-08,عاشورای حسینی,
1426-09-18,اربعین حسینی,
1426-09-26,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1426-10-05,شهادت امام حسن عسکری علیه السلام,
1426-10-14,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1426-11-22,پیروزی انقلاب اسلامی,
1426-12-29,روز ملی شدن صنعت نفت ایران,شهادت حضرت فاطمه زهرا سلام الله علیها
1427-01-01,جشن نوروز/جشن سال نو,
1427-01-02,عیدنوروز,
1427-01-03,عیدنوروز,
1427-01-04,عیدنوروز,
1427-01-12,روز جمهوری اسلامی,
1427-01-13,جشن سیزده به در,
1427-02-08,ولادت امام علی علیه السلام و روز پدر,
1427-02-22,مبعث رسول اکرم (ص),
1427-03-09,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1427-03-14,رحلت حضرت امام خمینی,
1427-03-15,قیام 15 خرداد,
1427-04-13,شهادت حضرت علی علیه السلام,
1427-04-23,عید سعید فطر,
1427-04-24,تعطیل به مناسبت عید سعید فطر,
1427-05-16,شهادت امام جعفر صادق علیه السلام,
1427-06-30,عید سعید قربان,
1427-07-07,عید سعید غدیر خم,
1427-07-27,تاسوعای حسینی,
1427-07-28,عاشورای حسینی,
1427-09-07,اربعین حسینی,
1427-09-15,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1427-09-17,شهادت امام رضا علیه السلام,
1427-09-25,شهادت امام حسن عسکری علیه السلام,
1427-10-04,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1427-11-22,پیروزی انقلاب اسلامی,
1427-12-18,شهادت حضرت فاطمه زهرا سلام الله علیها,
1427-12-29,روز ملی شدن صنعت نفت ایران,
1428-01-01,جشن نوروز/جشن سال نو,
1428-01-02,عیدنوروز,
1428-01-03,عیدنوروز,
1428-01-04,عیدنوروز,
1428-01-12,روز جمهوری اسلامی,
1428-01-13,جشن سیزده به در,
1428-01-28,ولادت امام علی علیه السلام و روز پدر,
1428-02-11,مبعث رسول اکرم (ص),
1428-02-29,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1428-03-14,رحلت حضرت امام خمینی,
1428-03-15,قیام 15 خرداد,
1428-04-03,شهادت حضرت علی علیه السلام,
1428-04-12,عید سعید فطر,
1428-04-13,تعطیل به مناسبت عید سعید فطر,
1428-05-05,شهادت امام جعفر صادق علیه السلام,
1428-06-19,عید سعید قربان,
1428-06-27,عید سعید غدیر خم,
1428-07-16,تاسوعای حسینی,
1428-07-17,عاشورای حسینی,
1428-08-27,اربعین حسینی,
1428-09-05,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1428-09-14,شهادت امام حسن عسکری علیه السلام,
1428-09-23,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1428-11-22,پیروزی انقلاب اسلامی,
1428-12-08,شهادت حضرت فاطمه زهرا سلام الله علیها,
1428-12-29,روز ملی شدن صنعت نفت ایران,
1428-12-30,آخرین روز سال,
1429-01-01,جشن نوروز/جشن سال نو,
1429-01-02,عیدنوروز,
1429-01-03,عیدنوروز,
1429-01-04,عیدنوروز,
1429-01-12,روز جمهوری اسلامی,
1429-01-13,جشن سیزده به در,
1429-01-17,ولادت امام علی علیه السلام و روز پدر,
1429-01-31,مبعث رسول اکرم (ص),
1429-02-17,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1429-03-14,رحلت حضرت امام خمینی,
1429-03-15,قیام 15 خرداد,
1429-03-22,شهادت حضرت علی علیه السلام,
1429-03-31,عید سعید فطر,
1429-04-01,تعطیل به مناسبت عید سعید فطر,
1429-04-24,شهادت امام جعفر صادق علیه السلام,
1429-06-07,عید سعید قربان,
1429-06-15,عید سعید غدیر خم,
1429-07-04,تاسوعای حسینی,
1429-07-05,عاشورای حسینی,
1429-08-15,اربعین حسینی,
1429-08-23,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1429-09-02,شهادت امام حسن عسکری علیه السلام,
1429-09-11,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1429-11-22,پیروزی انقلاب اسلامی,
1429-11-26,شهادت حضرت فاطمه زهرا سلام الله علیها,
1429-12-29,روز ملی شدن صنعت نفت ایران,
1430-01-01,جشن نوروز/جشن سال نو,
1430-01-02,عیدنوروز,
1430-01-03,عیدنوروز,
1430-01-04,عیدنوروز,
1430-01-07,ولادت امام علی علیه السلام و روز پدر,
1430-01-12,روز جمهوری اسلامی,
1430-01-13,جشن سیزده به در,
1430-01-21,مبعث رسول اکرم (ص),
1430-02-07,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1430-03-11,شهادت حضرت علی علیه السلام,
1430-03-14,رحلت حضرت امام خمینی,
1430-03-15,قیام 15 خرداد,
1430-03-21,عید سعید فطر,
1430-03-22,تعطیل به مناسبت عید سعید فطر,
1430-04-14,شهادت امام جعفر صادق علیه السلام,
1430-05-27,عید سعید قربان,
1430-06-04,عید سعید غدیر خم,
1430-06-24,تاسوعای حسینی,
1430-06-25,عاشورای حسینی,
1430-08-04,اربعین حسینی,
1430-08-12,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1430-08-14,شهادت امام رضا علیه السلام,
1430-08-22,شهادت امام حسن عسکری علیه السلام,
1430-09-01,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1430-11-16,شهادت حضرت فاطمه زهرا سلام الله علیها,
1430-11-22,پیروزی انقلاب اسلامی,
1430-12-25,ولادت امام علی علیه السلام و روز پدر,
1430-12-29,روز ملی شدن صنعت نفت ایران,
