Date,Jalali_Date,Description,Description2
2017-09-30,1396-07-08,Tasoua,
2017-10-01,1396-07-09,Ashoura,
2017-11-09,1396-08-18,Arbaeen,
2017-11-19,1396-08-28,Martyrdom of Imam Reza,
2017-11-27,1396-09-06,Martyrdom of Imam Hassa Askari,
2017-12-06,1396-09-15,Birthday of Muhammed,
2018-02-11,1396-11-22,Islamic Revolution Day,
2018-02-20,1396-12-01,Death of Fatima,
2018-03-20,1396-12-29,Oil Nationalization Day,
2018-03-21,1397-01-01,Nowrouz,
2018-03-22,1397-01-02,Nowrouz,
2018-03-23,1397-01-03,Nowrouz,
2018-03-24,1397-01-04,Nowrouz,
2018-03-31,1397-01-11,Birthday of Imam Ali,
2018-04-01,1397-01-12,Islamic Republic Day,
2018-04-02,1397-01-13,Nature Day,
2018-04-14,1397-01-25,The Prophet's Ascension,
2018-05-02,1397-02-12,Birthday of Imam Mahdi,
2018-06-04,1397-03-14,Demise of Imam Khomeini,
2018-06-05,1397-03-15,Khordad National Uprising,
2018-06-06,1397-03-16,Martyrdom of Imam Ali,
2018-06-15,1397-03-25,Eid-e-Fitr,
2018-06-16,1397-03-26,Eid-e-Fitr,
2018-07-09,1397-04-18,Martyrdom of Imam Sadeq,
2018-08-22,1397-05-31,Eid-e-Qorban,
2018-08-30,1397-06-08,Eid-e-Ghadir,
2018-09-19,1397-06-28,Tasoua,
2018-09-20,1397-06-29,Ashoura,
2018-10-30,1397-08-08,Arbaeen,
2018-11-16,1397-08-25,Martyrdom of Imam Hassa Askari,
2018-11-25,1397-09-04,Birthday of Muhammed,
2019-02-09,1397-11-20,Death of Fatima,
2019-02-11,1397-11-22,Islamic Revolution Day,
2019-03-20,1397-12-29,Oil Nationalization Day,Birthday of Imam Ali
2019-03-21,1398-01-01,Nowrouz,
2019-03-22,1398-01-02,Nowrouz,
2019-03-23,1398-01-03,Nowrouz,
2019-03-24,1398-01-04,Nowrouz,
2019-04-01,1398-01-12,Islamic Republic Day,
2019-04-02,1398-01-13,Nature Day,
2019-04-03,1398-01-14,The Prophet's Ascension,
2019-04-21,1398-02-01,Birthday of Imam Mahdi,
2019-05-27,1398-03-06,Martyrdom of Imam Ali,
2019-06-04,1398-03-14,Demise of Imam Khomeini,
2019-06-05,1398-03-15,Khordad National Uprising,Eid-e-Fitr
2019-06-06,1398-03-16,Eid-e-Fitr,
2019-06-29,1398-04-08,Martyrdom of Imam Sadeq,
2019-08-12,1398-05-21,Eid-e-Qorban,
2019-08-20,1398-05-29,Eid-e-Ghadir,
2019-09-09,1398-06-18,Tasoua,
2019-09-10,1398-06-19,Ashoura,
2019-10-19,1398-07-27,Arbaeen,
2019-10-29,1398-08-07,Martyrdom of Imam Reza,
2019-11-06,1398-08-15,Martyrdom of Imam Hassa Askari,
2019-11-15,1398-08-24,Birthday of Muhammed,
2020-01-29,1398-11-09,Death of Fatima,
2020-02-11,1398-11-22,Islamic Revolution Day,
2020-03-08,1398-12-18,Birthday of Imam Ali,
2020-03-19,1398-12-29,Oil Nationalization Day,
2020-03-20,1399-01-01,Nowrouz,
2020-03-21,1399-01-02,Nowrouz,
2020-03-22,1399-01-03,Nowrouz,The Prophet's Ascension
2020-03-23,1399-01-04,Nowrouz,
2020-03-31,1399-01-12,Islamic Republic Day,
2020-04-01,1399-01-13,Nature Day,
2020-04-09,1399-01-21,Birthday of Imam Mahdi,
2020-05-15,1399-02-26,Martyrdom of Imam Ali,
2020-05-24,1399-03-04,Eid-e-Fitr,
2020-05-25,1399-03-05,Eid-e-Fitr,
2020-06-03,1399-03-14,Demise of Imam Khomeini,
2020-06-04,1399-03-15,Khordad National Uprising,
2020-06-17,1399-03-28,Martyrdom of Imam Sadeq,
2020-07-31,1399-05-10,Eid-e-Qorban,
2020-08-08,1399-05-18,Eid-e-Ghadir,
2020-08-29,1399-06-08,Tasoua,
2020-08-30,1399-06-09,Ashoura,
2020-10-08,1399-07-17,Arbaeen,
2020-10-25,1399-08-04,Martyrdom of Imam Hassa Askari,
2020-11-03,1399-08-13,Birthday of Muhammed,
2021-01-17,1399-10-28,Death of Fatima,
2021-02-10,1399-11-22,Islamic Revolution Day,
2021-02-25,1399-12-07,Birthday of Imam Ali,
2021-03-11,1399-12-21,The Prophet's Ascension,
2021-03-19,1399-12-29,Oil Nationalization Day,
2021-03-21,1400-01-01,Nowrouz,
2021-03-22,1400-01-02,Nowrouz,
2021-03-23,1400-01-03,Nowrouz,
2021-03-24,1400-01-04,Nowrouz,
2021-03-29,1400-01-09,Birthday of Imam Mahdi,
2021-04-01,1400-01-12,Islamic Republic Day,
